Time,Team,Cap,Cap Number,Player Name,Action,Action Detail,Score,teams_in_game
--:--,Pacific (M),9,Rene Peralta,Missed Shot,,,,California (M) Pacific (M)
--:--,Pacific (M),9,Rene Peralta,Missed Shot,,,,California (M) Pacific (M)
--:--,Pacific (M),9,Rene Peralta,Missed Shot,,,,California (M) Pacific (M)
--:--,Pacific (M),6,Stefan Vavic,Missed Shot,,,,California (M) Pacific (M)
--:--,Pacific (M),6,Stefan Vavic,Missed Shot,,,,California (M) Pacific (M)
--:--,Pacific (M),6,Stefan Vavic,Missed Shot,,,,California (M) Pacific (M)
--:--,Pacific (M),5,Cooper Gaderson,Missed Shot,,,,California (M) Pacific (M)
--:--,Pacific (M),3,Spencer Burdack,Missed Shot,,,,California (M) Pacific (M)
--:--,Pacific (M),3,Spencer Burdack,Missed Shot,,,,California (M) Pacific (M)
--:--,Pacific (M),2,Gil Gvishi,Missed Shot,,,,California (M) Pacific (M)
--:--,Pacific (M),2,Gil Gvishi,Missed Shot,,,,California (M) Pacific (M)
--:--,Pacific (M),2,Gil Gvishi,Missed Shot,,,,California (M) Pacific (M)
--:--,Pacific (M),2,Gil Gvishi,Missed Shot,,,,California (M) Pacific (M)
--:--,California (M),27,Ryder Hagan,Missed Shot,,,,California (M) Pacific (M)
--:--,California (M),23,Piero Arienti,Missed Shot,,,,California (M) Pacific (M)
--:--,California (M),23,Piero Arienti,Missed Shot,,,,California (M) Pacific (M)
--:--,California (M),15,Nik Mirkovic,Missed Shot,,,,California (M) Pacific (M)
--:--,California (M),14,Warren Loth,Missed Shot,,,,California (M) Pacific (M)
--:--,California (M),14,Warren Loth,Missed Shot,,,,California (M) Pacific (M)
--:--,California (M),14,Warren Loth,Missed Shot,,,,California (M) Pacific (M)
--:--,California (M),10,Max Casabella,Missed Shot,,,,California (M) Pacific (M)
--:--,California (M),10,Max Casabella,Missed Shot,,,,California (M) Pacific (M)
--:--,California (M),10,Max Casabella,Missed Shot,,,,California (M) Pacific (M)
--:--,California (M),10,Max Casabella,Missed Shot,,,,California (M) Pacific (M)
--:--,California (M),10,Max Casabella,Missed Shot,,,,California (M) Pacific (M)
--:--,California (M),9,Jake Howerton,Missed Shot,,,,California (M) Pacific (M)
--:--,California (M),8,Garrett Dunn,Missed Shot,,,,California (M) Pacific (M)
--:--,California (M),7,Albert Ponferrada,Missed Shot,,,,California (M) Pacific (M)
--:--,California (M),5,Chris Ball,Missed Shot,,,,California (M) Pacific (M)
--:--,California (M),2,Roberto Valera,Missed Shot,,,,California (M) Pacific (M)
--:--,California (M),2,Roberto Valera,Missed Shot,,,,California (M) Pacific (M)
--:--,Pacific (M),13,Filip Norell,Earned Exclusion,,,,California (M) Pacific (M)
--:--,Pacific (M),10,Aleksa Sisakovic,Earned Exclusion,,,,California (M) Pacific (M)
--:--,Pacific (M),17,Charlie Donlin,Block,,,,California (M) Pacific (M)
--:--,Pacific (M),9,Rene Peralta,Block,,,,California (M) Pacific (M)
--:--,Pacific (M),5,Cooper Gaderson,Block,,,,California (M) Pacific (M)
--:--,California (M),1A,Kai Seed,Block,,,,California (M) Pacific (M)
--:--,California (M),1,Adrian Weinberg,Block,,,,California (M) Pacific (M)
--:--,California (M),1,Adrian Weinberg,Block,,,,California (M) Pacific (M)
--:--,California (M),1,Adrian Weinberg,Block,,,,California (M) Pacific (M)
--:--,California (M),1,Adrian Weinberg,Block,,,,California (M) Pacific (M)
--:--,California (M),1,Adrian Weinberg,Block,,,,California (M) Pacific (M)
--:--,California (M),1,Adrian Weinberg,Block,,,,California (M) Pacific (M)
--:--,California (M),1,Adrian Weinberg,Block,,,,California (M) Pacific (M)
--:--,Pacific (M),1,Lewis Gale,Block,,,,California (M) Pacific (M)
--:--,Pacific (M),1,Lewis Gale,Block,,,,California (M) Pacific (M)
--:--,Pacific (M),1,Lewis Gale,Block,,,,California (M) Pacific (M)
--:--,Pacific (M),1,Lewis Gale,Block,,,,California (M) Pacific (M)
--:--,Pacific (M),1,Lewis Gale,Block,,,,California (M) Pacific (M)
--:--,Pacific (M),1,Lewis Gale,Block,,,,California (M) Pacific (M)
--:--,Pacific (M),1,Lewis Gale,Block,,,,California (M) Pacific (M)
--:--,Pacific (M),1,Lewis Gale,Block,,,,California (M) Pacific (M)
--:--,California (M),1,Adrian Weinberg,Assist,,,,California (M) Pacific (M)
--:--,California (M),1,Adrian Weinberg,Assist,,,,California (M) Pacific (M)
--:--,California (M),1,Adrian Weinberg,Assist,,,,California (M) Pacific (M)
--:--,California (M),1,Adrian Weinberg,Steal,,,,California (M) Pacific (M)
--:--,California (M),1,Adrian Weinberg,Steal,,,,California (M) Pacific (M)
--:--,California (M),2,Roberto Valera,Assist,,,,California (M) Pacific (M)
--:--,California (M),2,Roberto Valera,Assist,,,,California (M) Pacific (M)
--:--,California (M),7,Albert Ponferrada,Assist,,,,California (M) Pacific (M)
--:--,California (M),7,Albert Ponferrada,Assist,,,,California (M) Pacific (M)
--:--,California (M),7,Albert Ponferrada,Assist,,,,California (M) Pacific (M)
--:--,California (M),8,Garrett Dunn,Assist,,,,California (M) Pacific (M)
--:--,California (M),8,Garrett Dunn,Steal,,,,California (M) Pacific (M)
--:--,California (M),9,Jake Howerton,Steal,,,,California (M) Pacific (M)
--:--,California (M),9,Jake Howerton,Steal,,,,California (M) Pacific (M)
--:--,California (M),9,Jake Howerton,Steal,,,,California (M) Pacific (M)
--:--,California (M),9,Jake Howerton,Block,,,,California (M) Pacific (M)
--:--,California (M),10,Max Casabella,Assist,,,,California (M) Pacific (M)
--:--,California (M),10,Max Casabella,Assist,,,,California (M) Pacific (M)
--:--,California (M),10,Max Casabella,Earned Exclusion,,,,California (M) Pacific (M)
--:--,California (M),15,Nik Mirkovic,Assist,,,,California (M) Pacific (M)
--:--,California (M),15,Nik Mirkovic,Assist,,,,California (M) Pacific (M)
--:--,California (M),15,Nik Mirkovic,Steal,,,,California (M) Pacific (M)
--:--,California (M),15,Nik Mirkovic,Block,,,,California (M) Pacific (M)
--:--,California (M),16,Jake Stone,Assist,,,,California (M) Pacific (M)
--:--,California (M),19,Easton Hamm,Steal,,,,California (M) Pacific (M)
--:--,California (M),23,Piero Arienti,Steal,,,,California (M) Pacific (M)
--:--,California (M),23,Piero Arienti,Block,,,,California (M) Pacific (M)
--:--,California (M),24,George Avakian,Block,,,,California (M) Pacific (M)
--:--,California (M),24,George Avakian,Earned Exclusion,,,,California (M) Pacific (M)
--:--,California (M),24,George Avakian,Earned Exclusion,,,,California (M) Pacific (M)
--:--,California (M),24,George Avakian,Earned Exclusion - Penalty,,,,California (M) Pacific (M)
--:--,California (M),9,Jake Howerton,Goal,4-2,,,California (M) Pacific (M)
--:--,California (M),10,Max Casabella,Goal,5-2,,,California (M) Pacific (M)
--:--,California (M),2,Roberto Valera,Goal - 6 on 5,6-2,,,California (M) Pacific (M)
--:--,Pacific (M),10,Aleksa Sisakovic,Goal,6-3,,,California (M) Pacific (M)
--:--,California (M),2,Roberto Valera,Goal,7-3,,,California (M) Pacific (M)
--:--,California (M),7,Albert Ponferrada,Goal,8-3,,,California (M) Pacific (M)
--:--,California (M),2,Roberto Valera,Goal,9-3,,,California (M) Pacific (M)
--:--,Pacific (M),9,Rene Peralta,Goal,9-4,,,California (M) Pacific (M)
--:--,California (M),7,Albert Ponferrada,Exclusion,,,,California (M) Pacific (M)
--:--,California (M),10,Max Casabella,Exclusion,,,,California (M) Pacific (M)
--:--,California (M),3,Wyatt Mundelius,Exclusion,,,,California (M) Pacific (M)
--:--,Pacific (M),6,Stefan Vavic,Exclusion,,,,California (M) Pacific (M)
--:--,California (M),14,Warren Loth,Exclusion,,,,California (M) Pacific (M)
--:--,California (M),24,George Avakian,Goal,10-4,,,California (M) Pacific (M)
--:--,Pacific (M),3,Spencer Burdack,Goal,10-5,,,California (M) Pacific (M)
--:--,California (M),11,Jordi Gascon,Goal,11-5,,,California (M) Pacific (M)
--:--,Pacific (M),11,Daniel Viscia,Goal,11-6,,,California (M) Pacific (M)
--:--,Pacific (M),11,Daniel Viscia,Goal - 6 on 5,11-7,,,California (M) Pacific (M)
--:--,California (M),10,Max Casabella,Goal,12-7,,,California (M) Pacific (M)
--:--,Pacific (M),3,Spencer Burdack,Goal,12-8,,,California (M) Pacific (M)
--:--,California (M),24,George Avakian,Goal,13-8,,,California (M) Pacific (M)
--:--,California (M),7,Albert Ponferrada,Goal,14-8,,,California (M) Pacific (M)
--:--,California (M),9,Jake Howerton,Exclusion,,,,California (M) Pacific (M)
--:--,California (M),16,Jake Stone,Exclusion,,,,California (M) Pacific (M)
--:--,California (M),14,Warren Loth,Exclusion,,,,California (M) Pacific (M)
--:--,California (M),7,Albert Ponferrada,Goal - Penalty,15-8,,,California (M) Pacific (M)
--:--,California (M),2,Roberto Valera,Goal,16-8,,,California (M) Pacific (M)
--:--,California (M),23,Piero Arienti,Goal,17-8,,,California (M) Pacific (M)
--:--,Pacific (M),9,Rene Peralta,Penalty,,,,California (M) Pacific (M)
--:--,California (M),6,Sam Untrecht,Exclusion,,,,California (M) Pacific (M)
--:--,California (M),22,Blake Hoover,Exclusion,,,,California (M) Pacific (M)
--:--,California (M),24,George Avakian,Exclusion,,,,California (M) Pacific (M)
--:--,Pacific (M),6,Stefan Vavic,Exclusion,,,,California (M) Pacific (M)
--:--,UCLA (M),2.0,Frederico Jucá Carsalade,Goal - Penalty,1-0,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),25.0,Giorgio Alessandria,Goal,2-0,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),4.0,Marcell Szécsi,Goal - 6 on 5,3-0,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),19.0,Holden Neach,Goal - 6 on 5,3-1,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),7.0,Rafael Real Vergara,Goal,4-1,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),17.0,Tyler Mrkaich,Goal,4-2,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),9.0,Gray Carson,Goal - 6 on 5,5-2,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),1.0,Aaron Wilson,Penalty,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),3.0,Max Stryker,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),24.0,Vinnie Merk,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),22.0,Makoto Kenney,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),5.0,JT Kujawa,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),2.0,Logan Anderson,Yellow Card,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),1.0,Aaron Wilson,Steal,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),1.0,Aaron Wilson,Steal,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),1.0,Aaron Wilson,Steal,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),9.0,Aaron Voggenthaler,Steal,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),3.0,Max Stryker,Steal,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),2.0,Logan Anderson,Steal,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),1.0,Garret Griggs,Steal,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),1.0,Garret Griggs,Steal,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),12.0,Wade Sherlock,Steal,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),10.0,Jack Larsen,Steal,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),10.0,Jack Larsen,Steal,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),9.0,Gray Carson,Steal,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),7.0,Rafael Real Vergara,Steal,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),4.0,Marcell Szécsi,Steal,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),2.0,Frederico Jucá Carsalade,Steal,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),2.0,Frederico Jucá Carsalade,Steal,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),,,Sprint (winner),,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),,,Sprint (winner),,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),,,Sprint (winner),,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),,,Sprint (winner),,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),,,Sprint (winner),,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),,,Sprint (winner),,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),,,Sprint (winner),,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),,,Sprint (winner),,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),20.0,William Fosselman,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),20.0,William Fosselman,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),20.0,William Fosselman,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),19.0,Holden Neach,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),17.0,Tyler Mrkaich,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),17.0,Tyler Mrkaich,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),17.0,Tyler Mrkaich,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),10.0,Timothy Kerr,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),9.0,Aaron Voggenthaler,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),9.0,Aaron Voggenthaler,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),9.0,Aaron Voggenthaler,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),8.0,Aleix Aznar Beltran,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),8.0,Aleix Aznar Beltran,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),8.0,Aleix Aznar Beltran,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),6.0,Ben Fleming,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),3.0,Max Stryker,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),3.0,Max Stryker,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),2.0,Logan Anderson,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),2.0,Logan Anderson,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),2.0,Logan Anderson,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),25.0,Giorgio Alessandria,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),24.0,Vinnie Merk,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),23.0,Trey Doten,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),20.0,Hayden Nightingale,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),13.0,Ben Liechty,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),13.0,Ben Liechty,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),13.0,Ben Liechty,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),13.0,Ben Liechty,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),12.0,Wade Sherlock,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),12.0,Wade Sherlock,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),10.0,Jack Larsen,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),7.0,Rafael Real Vergara,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),2.0,Frederico Jucá Carsalade,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),2.0,Frederico Jucá Carsalade,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),2.0,Frederico Jucá Carsalade,Missed Shot,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),19.0,Holden Neach,Earned Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),11.0,Andrew Hitchcock,Earned Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),11.0,Andrew Hitchcock,Earned Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),6.0,Ben Fleming,Earned Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),6.0,Ben Fleming,Earned Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),6.0,Ben Fleming,Earned Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),5.0,JT Kujawa,Earned Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),5.0,JT Kujawa,Earned Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),4.0,Will Nomura,Earned Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),10.0,Jack Larsen,Earned Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),8.0,Mark Laurlund,Earned Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),7.0,Rafael Real Vergara,Earned Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),4.0,Marcell Szécsi,Earned Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),4.0,Marcell Szécsi,Earned Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),4.0,Marcell Szécsi,Earned Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),4.0,Marcell Szécsi,Earned Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),4.0,Marcell Szécsi,Earned Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),3.0,Eli Liechty,Earned Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),2.0,Frederico Jucá Carsalade,Earned Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),1.0,Aaron Wilson,Block,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),1.0,Aaron Wilson,Block,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),1.0,Aaron Wilson,Block,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),1.0,Aaron Wilson,Block,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),1.0,Aaron Wilson,Block,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),1.0,Aaron Wilson,Block,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),1.0,Aaron Wilson,Block,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),1.0,Aaron Wilson,Block,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),9.0,Aaron Voggenthaler,Block,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),8.0,Aleix Aznar Beltran,Block,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),6.0,Ben Fleming,Block,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),1.0,Garret Griggs,Block,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),1.0,Garret Griggs,Block,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),1.0,Garret Griggs,Block,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),1.0,Garret Griggs,Block,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),1.0,Garret Griggs,Block,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),1.0,Garret Griggs,Block,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),1.0,Garret Griggs,Block,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),1.0,Garret Griggs,Block,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),1.0,Garret Griggs,Block,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),25.0,Giorgio Alessandria,Block,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),23.0,Trey Doten,Block,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),13.0,Ben Liechty,Block,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),8.0,Mark Laurlund,Block,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),8.0,Mark Laurlund,Block,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),7.0,Rafael Real Vergara,Block,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),7.0,Rafael Real Vergara,Block,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),7.0,Rafael Real Vergara,Block,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),2.0,Frederico Jucá Carsalade,Block,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),20.0,William Fosselman,Assist,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),17.0,Tyler Mrkaich,Assist,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),17.0,Tyler Mrkaich,Assist,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),8.0,Aleix Aznar Beltran,Assist,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),3.0,Max Stryker,Assist,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),3.0,Max Stryker,Assist,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),1.0,Garret Griggs,Assist,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),24.0,Vinnie Merk,Assist,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),23.0,Trey Doten,Assist,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),22.0,Makoto Kenney,Assist,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),22.0,Makoto Kenney,Assist,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),13.0,Ben Liechty,Assist,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),12.0,Wade Sherlock,Assist,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),10.0,Jack Larsen,Assist,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),10.0,Jack Larsen,Assist,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),10.0,Jack Larsen,Assist,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),2.0,Frederico Jucá Carsalade,Assist,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),2.0,Frederico Jucá Carsalade,Assist,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),4.0,Will Nomura,Goal - 6 on 5,5-3,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),7.0,Rafael Real Vergara,Goal,6-3,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),12.0,Wade Sherlock,Goal,7-3,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),4.0,Marcell Szécsi,Goal - 6 on 5,8-3,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),24.0,Vinnie Merk,Penalty,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),7.0,Colin Nicholls,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),3.0,Eli Liechty,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),2.0,Frederico Jucá Carsalade,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),25.0,Giorgio Alessandria,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),4.0,Marcell Szécsi,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),19.0,Holden Neach,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),22.0,Makoto Kenney,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),9.0,Aaron Voggenthaler,Goal - 6 on 5,8-4,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),13.0,Ben Liechty,Goal,9-4,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),25.0,Giorgio Alessandria,Goal - 6 on 5,10-4,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),10.0,Timothy Kerr,Goal,10-5,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),7.0,Rafael Real Vergara,Goal,11-5,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),6.0,Ben Fleming,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),6.0,Ben Larsen,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),11.0,Andrew Hitchcock,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),9.0,Aaron Voggenthaler,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),20.0,Hayden Nightingale,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),20.0,Hayden Nightingale,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),11.0,Andrew Hitchcock,Goal,11-6,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),25.0,Giorgio Alessandria,Goal - 6 on 5,12-6,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),10.0,Jack Larsen,Goal,13-6,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),4.0,Marcell Szécsi,Goal,14-6,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),7.0,Colin Nicholls,Goal,14-7,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),7.0,Rafael Real Vergara,Goal,15-7,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),8.0,Mark Laurlund,Goal,16-7,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),12.0,Wade Sherlock,Penalty,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),23.0,Trey Doten,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),12.0,Wade Sherlock,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),7.0,Colin Nicholls,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),23.0,Trey Doten,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UCLA (M),13.0,Ben Liechty,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,UC Davis (M),3.0,Max Stryker,Exclusion,,,,UCLA (M) UC Davis (M)
--:--,Stanford (M),,,Sprint (winner),,,,Stanford (M) LBSU (M)
--:--,LBSU (M),9.0,,Goal,0-1,,,Stanford (M) LBSU (M)
4:47,Stanford (M),24.0,Tanner Pulice,Goal,1-1,,,Stanford (M) LBSU (M)
2:16,Stanford (M),8.0,Riley Pittman,Goal,2-1,,,Stanford (M) LBSU (M)
2:02,LBSU (M),9.0,,Goal,2-2,,,Stanford (M) LBSU (M)
0:37,LBSU (M),9.0,,Goal,2-3,,,Stanford (M) LBSU (M)
--:--,Stanford (M),15.0,Soren Jensen,Assist,,,,Stanford (M) LBSU (M)
--:--,Stanford (M),1.0,Nolan Krutonog,Assist,,,,Stanford (M) LBSU (M)
--:--,Stanford (M),1.0,Nolan Krutonog,Block,,,,Stanford (M) LBSU (M)
--:--,Stanford (M),,,Sprint (winner),,,,Stanford (M) LBSU (M)
6:49,LBSU (M),9.0,,Goal,2-4,,,Stanford (M) LBSU (M)
5:24,LBSU (M),21.0,,Goal,2-5,,,Stanford (M) LBSU (M)
5:14,Stanford (M),7.0,CJ Indart,Goal,3-5,,,Stanford (M) LBSU (M)
4:48,Stanford (M),17.0,Jackson Painter,Goal,4-5,,,Stanford (M) LBSU (M)
